slice_id,clean_dice,clean_uncertainty,N_5_dice,N_5_uncertainty,S_5_dice,S_5_uncertainty,E_5_dice,E_5_uncertainty,W_5_dice,W_5_uncertainty,N_10_dice,N_10_uncertainty,S_10_dice,S_10_uncertainty,E_10_dice,E_10_uncertainty,W_10_dice,W_10_uncertainty
img0026_slice_086,0.7014493,0.42464834,0.6470812559127808,0.4316682517528534,0.7664399147033691,0.40751779079437256,0.6645768284797668,0.4357656240463257,0.6687722206115723,0.4313511550426483,0.5642049312591553,0.4495876431465149,0.790828287601471,0.3931152820587158,0.6267553567886353,0.43990767002105713,0.5418530106544495,0.455045223236084
img0026_slice_087,0.8522838,0.31005943,0.8255159258842468,0.32664188742637634,0.8755621910095215,0.24236449599266052,0.8535279631614685,0.30882692337036133,0.8396362066268921,0.32944735884666443,0.8049450516700745,0.3358943462371826,0.8983572721481323,0.15107083320617676,0.8551992177963257,0.3157747983932495,0.8062299489974976,0.35890528559684753
img0026_slice_088,0.6521914,0.41920584,0.5774297118186951,0.4239612817764282,0.7213553190231323,0.39836519956588745,0.6219325065612793,0.4285573959350586,0.5776353478431702,0.43222418427467346,0.5140867233276367,0.4398925006389618,0.7475683093070984,0.37934547662734985,0.647011935710907,0.4257715344429016,0.3948456048965454,0.4611205756664276
img0026_slice_089,0.6462715,0.24167103,0.6362951993942261,0.3162224292755127,,,0.6545172333717346,0.18267539143562317,0.6472615599632263,0.23206155002117157,0.626157820224762,0.33216285705566406,0.5028871297836304,0.0004864895308855921,,,0.6435643434524536,0.2466663122177124
img0026_slice_090,0.59001315,0.14448728,0.5527854561805725,0.19252170622348785,,,0.6100543737411499,0.132633775472641,0.5616009831428528,0.15493528544902802,0.5234625339508057,0.20559312403202057,,,,,0.5274596214294434,0.1713169664144516
img0026_slice_091,0.48413157,0.32121775,0.44521093368530273,0.3746632933616638,,,0.5151980519294739,0.30360403656959534,0.4515608251094818,0.3282723128795624,0.4139970541000366,0.4012692868709564,0.5126850008964539,0.0003284779959358275,0.5261837840080261,0.3274151384830475,0.4279520511627197,0.3442452549934387
img0026_slice_092,0.6992684,0.25875992,0.6758466958999634,0.3500816226005554,0.7430441975593567,0.11955408751964569,0.7057908773422241,0.24548247456550598,0.6941896080970764,0.25476714968681335,0.6405643820762634,0.384609580039978,,,0.7138364911079407,0.20442703366279602,0.6706055998802185,0.27591556310653687
img0026_slice_093,0.65092486,0.23270123,0.6363636255264282,0.31139492988586426,0.6704499125480652,0.15161123871803284,0.6610711216926575,0.20942236483097076,0.6359092593193054,0.23445433378219604,0.6257575750350952,0.3365219831466675,,,0.6688233017921448,0.15836496651172638,0.6152700185775757,0.2679988741874695
img0026_slice_094,0.68991596,0.014026924,0.6870293021202087,0.016791455447673798,,,0.6904962062835693,0.01218695193529129,0.68731689453125,0.015540232881903648,0.6861680150032043,0.015821728855371475,0.5139116048812866,0.0003826900210697204,0.6922428607940674,0.009740241803228855,0.6847372651100159,0.017122389748692513
img0026_slice_095,0.68795234,0.0113142915,0.684188187122345,0.01413305290043354,,,0.6897140145301819,0.008403700776398182,0.686491072177887,0.013703951612114906,0.6830300688743591,0.013428104110062122,0.5210891366004944,0.0004773957480210811,,,0.6824524402618408,0.016454320400953293
