slice_id,clean_dice,clean_uncertainty,N_5_dice,N_5_uncertainty,S_5_dice,S_5_uncertainty,E_5_dice,E_5_uncertainty,W_5_dice,W_5_uncertainty,N_10_dice,N_10_uncertainty,S_10_dice,S_10_uncertainty,E_10_dice,E_10_uncertainty,W_10_dice,W_10_uncertainty
img0026_slice_086,0.91045636,0.001899394,0.8055739998817444,0.0018934191903099418,0.49669966101646423,0.0018598102033138275,0.7797081470489502,0.001557489507831633,0.8727272748947144,0.0014802338555455208,0.7244201898574829,0.0015829089097678661,0.43589743971824646,0.0012434030650183558,0.7671052813529968,0.0019142417004331946,0.5328301787376404,0.002592639997601509
img0026_slice_087,0.9403748,0.0008735549,0.9381563663482666,0.000784238101914525,0.6473149657249451,0.0019477996975183487,0.9361459612846375,0.0007875635055825114,0.9340218305587769,0.000865058449562639,0.8790123462677002,0.00089746416779235,0.633093535900116,0.001197597710415721,0.8676470518112183,0.0017706714570522308,0.8924012184143066,0.0011061124969273806
img0026_slice_088,0.9017121,0.0010366037,0.9128137230873108,0.001110597513616085,0.8917360901832581,0.0011156375985592604,0.8696219325065613,0.001600869931280613,0.92522794008255,0.0014192559756338596,0.7894380688667297,0.0029298251029103994,0.44086021184921265,0.0013283793814480305,0.6958942413330078,0.0023518733214586973,0.3366500735282898,0.001825276529416442
img0026_slice_089,0.20378837,0.00092396664,0.49478879570961,0.00200604903511703,,,0.054020870476961136,0.0015390339540317655,0.209771990776062,0.0008449452579952776,0.7331828474998474,0.0011057700030505657,0.4610389471054077,0.00037850826629437506,,,0.27767354249954224,0.0013661186676472425
img0026_slice_090,0.25341615,0.00084754213,0.6390312314033508,0.0010614304337650537,,,0.011976048350334167,0.0007380017195828259,0.2456575632095337,0.0008158867713063955,0.6795853972434998,0.0009567675297148526,,,,,0.24570024013519287,0.0009863501181825995
img0026_slice_091,0.283715,0.00091873447,0.3055729568004608,0.0011936757946386933,,,0.262458473443985,0.0018395872320979834,0.27498409152030945,0.0009683631942607462,0.6279527544975281,0.001669698627665639,0.4729878604412079,0.0007350099040195346,0.016298020258545876,0.001154782366938889,0.2655758261680603,0.0012253264430910349
img0026_slice_092,0.400949,0.0010236037,0.46206504106521606,0.0010713052470237017,0.3664858341217041,0.0013432058040052652,0.4018968641757965,0.001072235987521708,0.4066193997859955,0.0009994158754125237,0.6328600645065308,0.000998123548924923,,,0.2400881052017212,0.001800027210265398,0.4021289050579071,0.0012191261630505323
img0026_slice_093,0.28743315,0.00077326794,0.35887610912323,0.001140594482421875,0.3116219639778137,0.0010811025276780128,0.291556715965271,0.0007433837745338678,0.3206806182861328,0.0007968292338773608,0.6024223566055298,0.0012661759974434972,,,0.015294117853045464,0.001387778902426362,0.3443456292152405,0.0010743822203949094
img0026_slice_094,0.33374083,0.0012776551,0.3414634168148041,0.001085046329535544,,,0.2765273451805115,0.0007900636410340667,0.33553817868232727,0.0012627344112843275,0.6798866987228394,0.0010553301544860005,0.5180255174636841,0.0005803778185509145,0.02037147991359234,0.0016458743484690785,0.32926830649375916,0.0010645492002367973
img0026_slice_095,0.28481805,0.001341014,0.32475489377975464,0.0013053322909399867,,,0.20737913250923157,0.0011763093061745167,0.32109004259109497,0.0018338793888688087,0.6589034199714661,0.0013443127973005176,0.5109170079231262,0.0004150981258135289,,,0.09431524574756622,0.0019175896886736155
img0026_slice_096,0.38856477,0.001375439,0.42816582322120667,0.0011758595937862992,,,0.34837964177131653,0.001629665377549827,0.3851590156555176,0.0015612890711054206,0.6601371169090271,0.0012471162481233478,0.4805265963077545,0.00043601018842309713,0.008254717104136944,0.0012779386015608907,0.2792736291885376,0.0018542453180998564
img0026_slice_097,0.42759347,0.002160217,0.6505910158157349,0.0011884748237207532,,,0.44376590847969055,0.0024313339963555336,0.44748857617378235,0.002106298692524433,0.6852189898490906,0.0010117304045706987,0.4777662754058838,0.0004325674963183701,0.009846827015280724,0.0012122553307563066,0.41436752676963806,0.0020694632548838854
img0026_slice_098,0.4973797,0.0021725968,0.684636116027832,0.001474809949286282,0.33834585547447205,0.0017745242221280932,0.42105263471603394,0.0027331733144819736,0.402691513299942,0.0018554115667939186,0.6996466517448425,0.0010426025837659836,0.4984709620475769,0.0005923044518567622,0.008973640389740467,0.0015896117547526956,0.36924687027931213,0.001623051124624908
img0026_slice_099,0.41025642,0.0021236485,0.6723366379737854,0.0011523253051564097,0.515288233757019,0.002199020702391863,0.1493624746799469,0.0021566911600530148,0.41450217366218567,0.0020568296313285828,0.6818996667861938,0.0011575525859370828,0.5099089741706848,0.0004902371438220143,0.019585253670811653,0.001806020736694336,0.16924026608467102,0.0015570938121527433
img0026_slice_100,0.4974722,0.0019108421,0.6283310055732727,0.0012213787995278835,0.42402464151382446,0.001917579211294651,0.22814127802848816,0.0021901559084653854,0.3031674325466156,0.0018858053954318166,0.6473029255867004,0.0012998692691326141,0.4890282154083252,0.0006305242422968149,0.06605306267738342,0.0014463611878454685,0.24415887892246246,0.001010959385894239
img0026_slice_101,0.56018883,0.0020438249,0.4341021478176117,0.001770737231709063,0.6505728363990784,0.0014941421104595065,0.4760408401489258,0.0020085431169718504,0.5331632494926453,0.001590820262208581,,,0.6149328947067261,0.0014029057929292321,0.3264746367931366,0.002268644282594323,0.4653863310813904,0.0014174686511978507
img0026_slice_102,0.37413535,0.0014546415,0.25086888670921326,0.0025173702742904425,0.4088495671749115,0.0010468765394762158,0.3840428590774536,0.0015225601382553577,0.23881499469280243,0.002569363685324788,,,0.4374275803565979,0.001034106477163732,0.31394657492637634,0.0019881848711520433,,
img0026_slice_103,0.1632993,0.0018899312,,,0.21150922775268555,0.0014979338739067316,0.26191478967666626,0.001101822592318058,,,,,0.13079018890857697,0.0012901474256068468,0.2647804021835327,0.0010737269185483456,,
img0026_slice_104,0.34119782,0.0012776111,0.16741853952407837,0.0022899755276739597,0.2982156574726105,0.0019746858160942793,0.23381642997264862,0.0013203938724473119,0.31468960642814636,0.0011395731708034873,0.1680307388305664,0.0017743788193911314,0.1671123057603836,0.001480929902754724,0.23353196680545807,0.00142868107650429,0.18365320563316345,0.001988454256206751
img0026_slice_105,0.17906916,0.0023963177,0.22867374122142792,0.002485567005351186,0.1909613311290741,0.002401177305728197,0.1296246349811554,0.0015655391616746783,0.1994539052248001,0.002673730719834566,0.1756650060415268,0.002094781957566738,0.16525423526763916,0.002414139686152339,0.11607992649078369,0.0013804351910948753,0.15658646821975708,0.0017758883768692613
img0026_slice_106,0.20154697,0.0018010209,0.20075170695781708,0.0018697298364713788,0.1945646107196808,0.0017298132879659534,0.17880719900131226,0.002411524998024106,0.15861523151397705,0.0018254051683470607,0.11336501687765121,0.0017221564194187522,0.13476964831352234,0.003253862028941512,0.12033721804618835,0.0018538790754973888,0.12055427581071854,0.0012035038089379668
img0026_slice_107,0.08504341,0.002301427,0.08106771856546402,0.0021444400772452354,0.08447646349668503,0.002436705632135272,0.1246376782655716,0.0029683485627174377,0.07574105262756348,0.0014961857814341784,0.08937887847423553,0.0020656324923038483,0.09013086557388306,0.002251187339425087,0.11663109064102173,0.0027475168462842703,0.06827229261398315,0.0018094255356118083
img0026_slice_108,0.07270443,0.002326493,0.07322325557470322,0.0023834395688027143,0.09931840002536774,0.0025909538380801678,0.09307282418012619,0.0019342595478519797,0.07615804672241211,0.0018846109742298722,0.08984965831041336,0.0023910808376967907,0.1070263609290123,0.0023708369117230177,0.09780297428369522,0.0019104322418570518,0.06558558344841003,0.00223131594248116
img0026_slice_109,0.043690108,0.0015491513,0.03875274956226349,0.0016105269314721227,0.0672336295247078,0.0020288049709051847,0.0903686061501503,0.0018578642047941685,0.042895443737506866,0.0017927339067682624,0.06816359609365463,0.002435434842482209,0.07925371080636978,0.002073584822937846,0.109550341963768,0.002107707317918539,0.04891876503825188,0.0018759986851364374
img0026_slice_110,0.05,0.0019823227,0.058939095586538315,0.0026200879365205765,0.06569501757621765,0.0023119747638702393,0.05440887063741684,0.0022525794338434935,0.05355709418654442,0.0021850126795470715,0.061759792268276215,0.0018104023765772581,0.07379594445228577,0.0027400145772844553,0.06625588983297348,0.002443135716021061,0.022974876686930656,0.0015063693281263113
img0026_slice_111,0.047373842,0.0018433459,0.06464783847332001,0.002462382661178708,0.0537877231836319,0.0017313744174316525,0.04415102303028107,0.0020615013781934977,0.050318777561187744,0.0025536506436765194,0.04764192923903465,0.0014295161236077547,0.08471950888633728,0.001897700596600771,0.06662134826183319,0.001513562398031354,0.09625811874866486,0.0022694047074764967
img0026_slice_112,0.052158613,0.0022868137,0.06432273983955383,0.0025066013913601637,0.049216438084840775,0.0016464544460177422,0.04503311216831207,0.0020268275402486324,0.06504775583744049,0.0025102137587964535,0.1149425283074379,0.0037072107661515474,0.05728611722588539,0.0012877918779850006,0.10096801817417145,0.003096086671575904,0.06262891739606857,0.0026186141185462475
img0026_slice_113,0.060741186,0.0023705757,0.0654042661190033,0.0024972923565655947,0.059103794395923615,0.002452912973240018,0.04993031546473503,0.0020666676573455334,0.06586934626102448,0.0027236684691160917,0.07948917150497437,0.002941519720479846,0.06295894831418991,0.001882319338619709,0.052054960280656815,0.002418697578832507,0.06120850518345833,0.0033129630610346794
img0026_slice_114,0.06371999,0.0020792633,0.03941614180803299,0.0025335904210805893,0.059802159667015076,0.0025687431916594505,0.056087397038936615,0.002163582481443882,0.047842562198638916,0.0018433996010571718,0.05081874504685402,0.0029908143915235996,0.07795099914073944,0.0025436063297092915,0.05235838517546654,0.0022155214101076126,0.04330574721097946,0.0018797910306602716
img0026_slice_115,0.042706225,0.001596962,0.04193602874875069,0.001801836770027876,0.04336591437458992,0.0011884875129908323,0.049173902720212936,0.0016729779308661819,0.03862830251455307,0.0017509458120912313,0.04413498938083649,0.0021876359824091196,0.0457809679210186,0.0016717584803700447,0.06917960196733475,0.002483526011928916,0.03818642720580101,0.001891163527034223
img0026_slice_116,0.042315926,0.0012364634,0.03801826015114784,0.0007173448102548718,0.055096689611673355,0.0034429181832820177,0.06008583679795265,0.0036451055202633142,0.039485491812229156,0.0009867427870631218,0.04016944766044617,0.0011734281433746219,0.04620658978819847,0.0018394943326711655,0.04104812070727348,0.0017505984287708998,0.041926007717847824,0.0012827591272071004
