slice_id,clean_dice,clean_uncertainty,N_5_dice,N_5_uncertainty,S_5_dice,S_5_uncertainty,E_5_dice,E_5_uncertainty,W_5_dice,W_5_uncertainty,N_10_dice,N_10_uncertainty,S_10_dice,S_10_uncertainty,E_10_dice,E_10_uncertainty,W_10_dice,W_10_uncertainty
img0026_slice_086,0.25770652,0.06365344,0.2580147981643677,0.0641091912984848,0.25741657614707947,0.0656658485531807,0.25846344232559204,0.05483068525791168,0.2571604549884796,0.07388105988502502,0.25892168283462524,0.07102163136005402,0.25892579555511475,0.07413098216056824,0.2599782645702362,0.05553760379552841,0.2583436369895935,0.09017708152532578
img0026_slice_087,0.26248688,0.15116759,0.2745220959186554,0.1573583483695984,0.23172669112682343,0.15588825941085815,0.2719925343990326,0.13513357937335968,0.2534395456314087,0.16417695581912994,0.27551501989364624,0.1594286859035492,0.2312062382698059,0.18453240394592285,0.27724969387054443,0.11506190896034241,0.23883044719696045,0.19540172815322876
img0026_slice_088,0.26607025,0.15316848,0.2663133442401886,0.16522952914237976,0.26512396335601807,0.1598457247018814,0.26640158891677856,0.13419261574745178,0.26609158515930176,0.17225606739521027,0.2671984136104584,0.17245754599571228,0.26697736978530884,0.1742371767759323,0.2672872245311737,0.13744208216667175,0.26751166582107544,0.20222386717796326
img0026_slice_089,0.70533836,0.055598103,0.6738868951797485,0.1144552007317543,,,0.7107157707214355,0.030606554821133614,0.700918972492218,0.07586438208818436,0.6255113482475281,0.17257055640220642,0.5068062543869019,0.002084601204842329,,,0.6857376098632812,0.11072414368391037
img0026_slice_090,0.2631502,0.16037759,0.2501392662525177,0.14700795710086823,,,0.2684202790260315,0.1381807029247284,0.2605541944503784,0.14726562798023224,0.24986088275909424,0.129744291305542,,,,,0.26070547103881836,0.1633722186088562
img0026_slice_091,0.24992535,0.058254216,0.24803674221038818,0.046813540160655975,,,0.25056129693984985,0.05686751753091812,0.2497389167547226,0.06002325564622879,0.24723084270954132,0.04533829912543297,0.5120000243186951,0.0013232979690656066,0.25267601013183594,0.05934707075357437,0.2503739297389984,0.06751325726509094
img0026_slice_092,0.76321447,0.009701727,0.7618640661239624,0.01571943610906601,0.7649092674255371,0.006849511526525021,0.7632144689559937,0.01057529728859663,0.7636207342147827,0.00906036701053381,0.7636518478393555,0.019538743421435356,,,0.7625590562820435,0.011481388472020626,0.7643040418624878,0.01335848867893219
img0026_slice_093,0.3649989,0.07192161,0.26878753304481506,0.07426061481237411,0.5112689137458801,0.049799226224422455,0.3650793731212616,0.06586765497922897,0.3618881106376648,0.08334515988826752,0.266195148229599,0.07393376529216766,,,0.43487393856048584,0.050523947924375534,0.28317373991012573,0.08067098259925842
img0026_slice_094,0.7243053,0.002042807,0.7233480215072632,0.002508999779820442,,,0.7252650260925293,0.0020231660455465317,0.7208077311515808,0.0020801606588065624,0.7214411497116089,0.0028150174766778946,0.5251641273498535,0.001316351699642837,0.7230294942855835,0.0021214403677731752,0.7167176008224487,0.0021953408140689135
img0026_slice_095,0.7131439,0.0018275125,0.7143491506576538,0.0017238701693713665,,,0.7122557759284973,0.0019222786650061607,0.7137150168418884,0.001872371998615563,0.7143491506576538,0.0018322805408388376,0.5231931209564209,0.0012068375945091248,,,0.7130820155143738,0.001984304515644908
img0026_slice_096,0.7299396,0.021701694,0.7213253974914551,0.0574607253074646,,,0.7299395799636841,0.01652279868721962,0.731369137763977,0.017031420022249222,0.6844014525413513,0.16111060976982117,0.5002655386924744,0.0012884213356301188,0.7304197549819946,0.009676647372543812,0.7304197549819946,0.011104035191237926
img0026_slice_097,0.72902685,0.003384785,0.7283382415771484,0.004342594649642706,,,0.7290268540382385,0.0031223699916154146,0.7298657894134521,0.003205101005733013,0.7270450592041016,0.005242905579507351,0.5010162591934204,0.0009206752292811871,0.7304785847663879,0.0027901665307581425,0.7287212014198303,0.0030131870880723
img0026_slice_098,0.7262152,0.0016032159,0.7257594466209412,0.0016840004827827215,0.7214197516441345,0.0029545212164521217,0.7271214723587036,0.0018748813308775425,0.723809540271759,0.0015292345779016614,0.7248545289039612,0.0016330000944435596,0.5092783570289612,0.000859015213791281,0.7280299663543701,0.0021421213168650866,0.7235099077224731,0.0017025750130414963
img0026_slice_099,0.7159864,0.0024584967,0.7144675254821777,0.002805024618282914,0.7112616300582886,0.00435808626934886,0.7159863710403442,0.002565146889537573,0.7141645550727844,0.002456776797771454,0.7122940421104431,0.0032069352455437183,0.5235873460769653,0.0014740036567673087,0.7156820893287659,0.003350132144987583,0.7119932174682617,0.002542839851230383
img0026_slice_100,0.7353669,0.0026644499,0.7358879446983337,0.0027082834858447313,0.734761118888855,0.003494329284876585,0.7362773418426514,0.0026399975176900625,0.7340731620788574,0.0026378766633570194,0.7361053824424744,0.002863749163225293,0.5076847076416016,0.0015433989465236664,0.7355848550796509,0.0026724813506007195,0.7313677072525024,0.0027511906810104847
img0026_slice_101,0.63728815,0.003437561,0.6370481848716736,0.003936021588742733,0.6365688443183899,0.003333393717184663,0.6370481848716736,0.0034315523225814104,0.6368421316146851,0.0037352596409618855,,,0.6360902190208435,0.0035390870179980993,0.6366704106330872,0.00401606410741806,0.635408878326416,0.004063189961016178
img0026_slice_102,0.47046414,0.0049919398,0.5249813795089722,0.12217207998037338,0.46996837854385376,0.004802650306373835,0.47282323241233826,0.005096880719065666,0.4705263078212738,0.004946948494762182,,,0.469565212726593,0.0042951046489179134,0.47167813777923584,0.0048697274178266525,,
img0026_slice_103,0.16890952,0.45180014,,,0.2020246535539627,0.4448254108428955,0.2873292565345764,0.41291534900665283,,,,,0.19499734044075012,0.4387437105178833,0.2718100845813751,0.42971375584602356,,
img0026_slice_104,0.38178065,0.0021511905,0.38130345940589905,0.0024371808394789696,0.3810647428035736,0.0020050611346960068,0.3808259665966034,0.0023041118402034044,0.382144957780838,0.0021189984399825335,0.3820754587650299,0.0025969319976866245,0.3810085654258728,0.0019255884690210223,0.380938321352005,0.002269506687298417,0.38262149691581726,0.002017925726249814
img0026_slice_105,0.38809744,0.004508987,0.38810425996780396,0.004417699296027422,0.3883718252182007,0.0047197360545396805,0.3886081874370575,0.004594799131155014,0.38767531514167786,0.004749714396893978,0.38870394229888916,0.004442241042852402,0.3886016309261322,0.004759419243782759,0.38878676295280457,0.004771576728671789,0.387668251991272,0.005377191584557295
img0026_slice_106,0.4125813,0.0041491953,0.41266143321990967,0.004037356004118919,0.4128894507884979,0.004338070750236511,0.41266143321990967,0.0042699119076132774,0.4127354025840759,0.004065282177180052,0.41266143321990967,0.00403324980288744,0.41304346919059753,0.004624537192285061,0.41270148754119873,0.003957523498684168,0.4122730493545532,0.0040484145283699036
img0026_slice_107,0.4124031,0.00787596,0.41247043013572693,0.007570166140794754,0.4119807481765747,0.008162512443959713,0.41272950172424316,0.008059225045144558,0.412014365196228,0.008157096803188324,0.4128926992416382,0.007734396494925022,0.4118175208568573,0.007859279401600361,0.41266733407974243,0.008490932174026966,0.41191837191581726,0.008651300333440304
img0026_slice_108,0.42148396,0.008214443,0.4213992953300476,0.008209668099880219,0.4214531481266022,0.008359245024621487,0.42105263471603394,0.008006717078387737,0.42143014073371887,0.00866288598626852,0.4212837517261505,0.008542699739336967,0.4215686321258545,0.008511424995958805,0.42079824209213257,0.008009880781173706,0.4215456545352936,0.009071939624845982
img0026_slice_109,0.4158105,0.009731056,0.4157288670539856,0.010287393815815449,0.41583770513534546,0.009711654856801033,0.4157068133354187,0.009476961567997932,0.4158104956150055,0.010112101212143898,0.41570165753364563,0.010992603376507759,0.415963351726532,0.009643017314374447,0.4157119393348694,0.009501287713646889,0.4159958064556122,0.01081208698451519
img0026_slice_110,0.41694236,0.010975672,0.417035847902298,0.011154172010719776,0.4168930947780609,0.011209783144295216,0.416730672121048,0.010610481724143028,0.41696697473526,0.011411674320697784,0.41701123118400574,0.011600700207054615,0.4170554578304291,0.011398340575397015,0.4168684780597687,0.010472588241100311,0.41682419180870056,0.011863448657095432
img0026_slice_111,0.39211294,0.008958909,0.3921349048614502,0.009033341892063618,0.39204704761505127,0.00915054976940155,0.3920448124408722,0.009594007395207882,0.39204928278923035,0.008505338802933693,0.39204704761505127,0.009387020021677017,0.3919592499732971,0.009544665925204754,0.39199864864349365,0.010201698169112206,0.39204928278923035,0.008777046576142311
img0026_slice_112,0.55396354,0.066822015,0.5542269349098206,0.06864935159683228,0.5538447499275208,0.0694129541516304,0.5539635419845581,0.06594621390104294,0.5538289546966553,0.06854645907878876,0.554294228553772,0.07155860960483551,0.5540006756782532,0.07663840055465698,0.5530310273170471,0.06344568729400635,0.5542325377464294,0.07100193202495575
img0026_slice_113,0.5888613,0.0604866,0.5888820886611938,0.0585615448653698,0.5890763401985168,0.06645166128873825,0.5885330438613892,0.05795847624540329,0.5888971090316772,0.06421486288309097,0.5895490050315857,0.058299023658037186,0.5890811085700989,0.074403315782547,0.5881325602531433,0.05456214025616646,0.5890918374061584,0.06985698640346527
img0026_slice_114,0.6006272,0.117893115,0.6005146503448486,0.1072346493601799,0.6003857851028442,0.13439616560935974,0.6009412407875061,0.11228956282138824,0.6003693342208862,0.123822420835495,0.6006271839141846,0.10103500634431839,0.6003775000572205,0.15168768167495728,0.6010220646858215,0.1103096753358841,0.6000962257385254,0.12864245474338531
img0026_slice_115,0.6350608,0.20110779,0.6346131563186646,0.18378305435180664,0.6355646848678589,0.21779599785804749,0.635360598564148,0.20243114233016968,0.6346906423568726,0.20287810266017914,0.6343977451324463,0.1697491854429245,0.6358569264411926,0.23050105571746826,0.6353150606155396,0.20492614805698395,0.6345959901809692,0.21040478348731995
img0026_slice_116,0.63426006,0.20307967,0.6342098712921143,0.19680893421173096,0.6344756484031677,0.21439582109451294,0.6345059275627136,0.20058202743530273,0.6342065334320068,0.2042306661605835,0.6339840292930603,0.19172146916389465,0.6346226334571838,0.2250615656375885,0.6345210671424866,0.19897668063640594,0.6342902183532715,0.2091507464647293
img0026_slice_117,0.65268344,0.25146556,0.6523244976997375,0.2390069216489792,0.65290766954422,0.2625614404678345,0.6528286933898926,0.2507873773574829,0.6524879336357117,0.2514965832233429,0.652186930179596,0.2287938892841339,0.6527722477912903,0.272601842880249,0.6530054807662964,0.2540006637573242,0.6524676084518433,0.25306546688079834
img0026_slice_118,0.6644423,0.35450646,0.6645654439926147,0.3424254059791565,0.6645904779434204,0.3638995885848999,0.6646925210952759,0.3556737005710602,0.6645243763923645,0.34981173276901245,0.6646065711975098,0.33390727639198303,0.6643856763839722,0.3718222379684448,0.6646719574928284,0.3554859161376953,0.6641907691955566,0.3483327031135559
img0026_slice_119,0.67873144,0.29306155,0.6788303852081299,0.2790583670139313,0.6790908575057983,0.3037163019180298,0.6791319251060486,0.3010721206665039,0.6787325143814087,0.28176149725914,0.6789461374282837,0.2735157907009125,0.6793996691703796,0.3094068765640259,0.6794018745422363,0.29707762598991394,0.6787135601043701,0.2863924503326416
img0026_slice_120,0.69112474,0.35448533,0.690947413444519,0.3474734127521515,0.6915794610977173,0.3650702238082886,0.6912697553634644,0.35439279675483704,0.6909776329994202,0.35604795813560486,0.6909111142158508,0.34235256910324097,0.691665768623352,0.37548696994781494,0.6911316514015198,0.35651305317878723,0.6908859014511108,0.35679230093955994
